record_index,cluster
0,9
1,1
2,1
3,1
4,8
5,2
6,5
7,9
8,9
9,1
10,5
11,9
12,5
13,1
14,1
15,7
16,1
17,5
18,7
19,5
20,2
21,1
22,4
23,1
24,1
25,9
26,1
27,8
28,9
29,1
30,1
31,9
32,2
33,1
34,2
35,6
36,1
37,5
38,8
39,9
40,2
41,2
42,2
43,9
44,5
45,1
46,1
47,9
48,1
49,5
50,1
51,5
52,4
53,4
54,4
55,4
56,9
57,1
58,7
59,0
60,1
61,3
62,9
63,9
64,1
65,1
66,8
67,0
68,1
69,9
70,1
71,1
72,1
73,1
74,1
75,1
76,5
77,-1
78,1
79,9
80,9
81,5
82,1
83,2
84,1
85,5
86,5
87,2
88,5
89,3
90,9
91,1
92,9
93,9
94,9
95,1
96,9
97,5
98,9
99,5
100,6
101,7
102,5
103,9
104,-1
105,4
106,1
107,1
108,2
109,3
110,1
111,1
112,0
113,3
114,8
115,5
116,4
117,8
118,1
119,9
120,3
121,1
122,1
123,5
124,8
125,1
126,1
127,2
128,2
129,2
130,4
131,5
132,2
133,8
134,1
135,3
136,8
137,1
138,2
139,9
140,9
141,1
142,1
143,1
144,3
145,1
146,3
147,9
148,5
149,9
150,3
151,1
152,9
153,9
154,1
155,9
156,9
157,5
158,9
159,9
160,8
161,2
162,1
163,9
164,2
165,9
166,3
167,1
168,1
169,9
170,5
171,1
172,5
173,7
174,1
175,1
176,9
177,5
178,2
179,1
180,1
181,1
182,1
183,6
184,1
185,1
186,8
187,5
188,2
189,6
190,2
191,3
192,9
193,2
194,5
195,2
196,1
197,9
198,9
199,1
200,1
201,5
202,1
203,4
204,2
205,3
206,1
207,9
208,1
209,9
210,2
211,1
212,1
213,2
214,5
215,5
216,9
217,1
218,2
219,1
220,1
221,8
222,5
223,1
224,0
225,9
226,5
227,1
228,8
229,8
230,5
231,0
232,2
233,1
234,1
235,9
236,1
237,1
238,5
239,9
240,5
241,0
242,4
243,2
244,1
245,6
246,1
247,2
248,9
249,1
250,5
251,0
252,9
253,1
254,1
255,4
256,2
257,1
258,2
259,1
260,9
261,5
262,1
263,9
264,8
265,1
266,1
267,9
268,6
269,2
270,4
271,-1
272,5
273,5
274,4
275,9
276,8
277,3
278,1
279,5
280,5
281,4
282,8
283,5
284,1
285,1
286,4
287,9
288,1
289,8
290,1
291,1
292,9
293,5
294,6
295,6
296,0
297,8
298,2
299,9
300,1
301,4
302,3
303,9
304,1
305,1
306,-1
307,1
308,1
309,1
310,5
311,9
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,8
320,-1
321,9
322,1
323,1
324,4
325,1
326,9
327,1
328,5
329,1
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,5
338,1
339,4
340,7
341,9
342,5
343,-1
344,8
345,5
346,1
347,5
348,2
349,5
350,1
351,1
352,9
353,9
354,4
355,1
356,5
357,5
358,8
359,5
360,6
361,4
362,3
363,1
364,2
365,5
366,0
367,8
368,1
369,2
370,3
371,5
372,1
373,3
374,1
375,4
376,9
377,9
378,1
379,1
380,1
381,2
382,1
383,3
384,0
385,1
386,5
387,1
388,4
389,9
390,5
391,9
392,2
393,4
394,1
395,2
396,1
397,9
398,5
399,3
400,-1
401,5
402,1
403,1
404,5
405,1
406,5
407,5
408,2
409,0
410,2
411,3
412,4
413,1
414,0
415,5
416,2
417,8
418,1
419,5
420,5
421,9
422,1
423,1
424,4
425,5
426,1
427,1
428,9
429,9
430,5
431,8
432,9
433,1
434,1
435,-1
436,0
437,1
438,1
439,9
440,1
441,1
442,1
443,3
444,9
445,9
446,1
447,5
448,8
449,1
450,8
451,1
452,1
453,1
454,1
455,5
456,8
457,3
458,5
459,5
460,1
461,1
462,9
463,1
464,1
465,5
466,2
467,1
468,5
469,1
470,5
471,1
472,9
473,1
474,9
475,8
476,1
477,5
478,1
479,0
480,5
481,1
482,5
483,8
484,5
485,3
486,0
487,8
488,1
489,5
490,2
491,-1
492,1
493,1
494,1
495,9
496,9
497,2
498,9
499,8
500,5
501,5
502,2
503,2
504,4
505,9
506,3
507,1
508,9
509,8
510,1
511,1
512,1
513,2
514,1
515,1
516,5
517,5
518,9
519,9
520,1
521,1
522,4
523,1
524,1
525,9
526,1
527,3
528,8
529,7
530,5
531,1
532,1
533,1
534,7
535,-1
536,1
537,1
538,9
539,1
540,5
541,9
542,1
543,1
544,5
545,1
546,9
547,1
548,8
549,5
550,5
551,1
552,1
553,8
554,1
555,3
556,2
557,5
558,4
559,1
560,9
561,0
562,0
563,5
564,5
565,8
566,1
567,9
568,1
569,8
570,9
571,1
572,5
573,1
574,9
575,1
576,8
577,9
578,1
579,9
580,8
581,2
582,1
583,1
584,4
585,1
586,2
587,9
588,4
589,9
590,9
591,8
592,9
593,1
594,1
595,5
596,6
597,1
598,1
599,5
600,5
601,1
602,1
603,5
604,1
605,1
606,1
607,1
608,5
609,0
610,1
611,1
612,1
613,7
614,1
615,5
616,8
617,9
618,1
619,2
620,5
621,1
622,5
623,7
624,1
625,1
626,5
627,1
628,1
629,2
630,5
631,9
632,9
633,5
634,2
635,1
636,2
637,1
638,1
639,2
640,5
641,1
642,0
643,4
644,0
645,4
646,1
647,8
648,0
649,2
650,1
651,2
652,1
653,5
654,1
655,7
656,0
657,1
658,1
659,9
660,8
661,5
662,3
663,5
664,0
665,2
666,1
667,9
668,9
669,1
670,8
671,8
672,1
673,1
674,9
