index,nb_expr_total,nb_expr_ok,nb_expr_absentes,expr_absentes
0,5,4,1,['normes des droits']
1,5,4,1,['pression sociale']
2,5,3,2,"['alimentation de qualité', 'hydration joue un rôle']"
3,5,4,1,['animaux abandonnés']
4,5,5,0,[]
5,5,5,0,[]
6,5,5,0,[]
7,5,5,0,[]
8,5,5,0,[]
9,5,5,0,[]
10,5,3,2,"['notoriété des célébrités', 'produits en édition limitée']"
11,5,4,1,['technologies avancées']
12,5,4,1,['équilibre économique']
13,5,5,0,[]
14,5,4,1,['looks tendance']
15,5,5,0,[]
16,3,3,0,[]
17,5,5,0,[]
18,5,5,0,[]
19,5,5,0,[]
20,5,4,1,['société juste']
21,5,2,3,"['environnement extraterrestre', 'autonomie alimentaire', 'ressources spatiales']"
22,6,4,2,"['phénomène de migration', 'conservation des habitats']"
23,5,5,0,[]
24,5,5,0,[]
25,6,6,0,[]
26,5,5,0,[]
27,5,5,0,[]
28,5,4,1,"[""échanges d'expériences""]"
29,5,5,0,[]
30,5,5,0,[]
31,5,5,0,[]
32,5,5,0,[]
33,5,4,1,['environnement extraterrestre']
34,5,5,0,[]
35,5,5,0,[]
36,5,5,0,[]
37,5,5,0,[]
38,5,4,1,['conflits humains-faune']
39,5,5,0,[]
40,6,6,0,[]
41,6,5,1,['organisation non gouvernementale']
42,5,5,0,[]
43,6,5,1,['exploration de la Lune']
44,5,5,0,[]
45,5,5,0,[]
46,5,5,0,[]
47,3,2,1,['santé des animaux']
48,5,5,0,[]
49,5,4,1,['lutte contre le changement climatique']
50,5,5,0,[]
51,5,5,0,[]
52,6,6,0,[]
53,6,6,0,[]
54,5,5,0,[]
55,5,5,0,[]
56,6,6,0,[]
57,5,5,0,[]
58,5,2,3,"['relations de célébrités', 'mariages de stars', 'union célèbre']"
59,5,4,1,['engagements humanitaires']
60,5,3,2,"['migrations externes', 'changement climatique']"
61,5,3,2,"[""défis d'infrastructures"", 'croissance des villes']"
62,5,5,0,[]
63,5,4,1,['relations maître-animal']
64,5,4,1,['échanges de biens']
65,5,4,1,['protection des droits']
66,5,5,0,[]
67,5,5,0,[]
68,5,5,0,[]
69,5,3,2,"['albums musicaux', 'style musical']"
70,5,5,0,[]
71,3,2,1,['conflits humains-faune']
72,5,5,0,[]
73,5,5,0,[]
74,5,4,1,['réduction du stress']
75,5,5,0,[]
